userProfile;evalProfile;alpha;hellinger
Slice All;Slice and Drill;0.5;0.22165257332203553
Slice All;Slice and Drill;0.6;0.2318791689384159
Slice All;Slice and Drill;0.7;0.271993485679872
Slice All;Slice and Drill;0.8;0.3244848145424314
Slice All;Slice and Drill;0.9;0.36781537836717815
Slice All;Goal Oriented;0.1;0.05494325865317305
Slice All;Goal Oriented;0.2;0.07465164658411742
Slice All;Goal Oriented;0.3;0.12519213480636515
Slice All;Goal Oriented;0.4;0.18707782761460873
Slice All;Goal Oriented;0.5;0.1742574938674437
Slice All;Goal Oriented;0.6;0.2624424618982728
Slice All;Goal Oriented;0.7;0.28901503836002723
Slice All;Goal Oriented;0.8;0.2909009412434957
Slice All;Goal Oriented;0.9;0.3685507565799962
Slice All;Slice All;0.1;0.0481860019453912
Slice All;Slice All;0.2;0.0942238422424549
Slice All;Slice All;0.3;0.14372865595624443
Slice All;Slice All;0.4;0.17772415645116177
Slice All;Slice All;0.5;0.21584086008717135
Slice All;Slice All;0.6;0.24400970628942736
Slice All;Slice All;0.7;0.30706899916788105
Slice All;Slice All;0.8;0.2871836102782591
Slice All;Slice All;0.9;0.3825062524715294
Explorative;Explorative;0.1;0.020534175085085364
Explorative;Explorative;0.2;0.038623614319762224
Explorative;Explorative;0.3;0.057085372228739245
Explorative;Explorative;0.4;0.0710985724242399
Explorative;Explorative;0.5;0.09620435426411819
Explorative;Explorative;0.6;0.10967515086106397
Explorative;Explorative;0.7;0.14151713705789293
Explorative;Explorative;0.8;0.16429602300162113
Explorative;Explorative;0.9;0.20747390986763717
Explorative;Slice and Drill;0.1;0.020805548105934882
Explorative;Slice and Drill;0.2;0.03864955833919871
Explorative;Slice and Drill;0.3;0.06043356528964924
Explorative;Slice and Drill;0.4;0.07309334588576807
Explorative;Slice and Drill;0.5;0.09538499845564216
Explorative;Slice and Drill;0.6;0.12058134333625824
Explorative;Slice and Drill;0.7;0.1525476521994822
Explorative;Slice and Drill;0.8;0.16131077225830665
Explorative;Slice and Drill;0.9;0.2150371196860686
Explorative;Goal Oriented;0.1;0.022184876163349767
Explorative;Goal Oriented;0.2;0.03744496453026491
Explorative;Goal Oriented;0.3;0.06043356528964924
Explorative;Goal Oriented;0.4;0.08277945031684472
Explorative;Goal Oriented;0.5;0.09918795074362864
Explorative;Goal Oriented;0.6;0.12575735565503263
Explorative;Goal Oriented;0.7;0.13873110393077728
Explorative;Goal Oriented;0.8;0.17427072797787613
Explorative;Goal Oriented;0.9;0.2150371196860686
Explorative;Slice All;0.1;0.020488182336647853
Explorative;Slice All;0.2;0.0402034072766741
Explorative;Slice All;0.3;0.05787018342650454
Explorative;Slice All;0.4;0.06887488362338089
Explorative;Slice All;0.5;0.09879208646899007
Explorative;Slice All;0.6;0.11696567056962992
Explorative;Slice All;0.7;0.15052092615842672
Explorative;Slice All;0.8;0.18203917187513136
Explorative;Slice All;0.9;0.20856806312840423
Slice and Drill;Explorative;0.1;0.021679860770691093
Slice and Drill;Explorative;0.2;0.038096894617209456
Slice and Drill;Explorative;0.3;0.056746105903294736
Slice and Drill;Explorative;0.4;0.07719235344276326
Slice and Drill;Explorative;0.5;0.09986533489289573
Slice and Drill;Explorative;0.6;0.11819033154681097
Slice and Drill;Explorative;0.7;0.15412023541112066
Slice and Drill;Explorative;0.8;0.1820581590303855
Slice and Drill;Explorative;0.9;0.21993803952461236
Slice and Drill;Slice and Drill;0.1;0.02055979905189097
Slice and Drill;Slice and Drill;0.2;0.03719960138330268
Slice and Drill;Slice and Drill;0.3;0.05837638288218856
Slice and Drill;Slice and Drill;0.4;0.08013094235642014
Slice and Drill;Slice and Drill;0.5;0.10400507211062064
Slice and Drill;Slice and Drill;0.6;0.1202666328184274
Slice and Drill;Slice and Drill;0.7;0.14818434702383126
Slice and Drill;Slice and Drill;0.8;0.18321494250803977
Slice and Drill;Slice and Drill;0.9;0.21557948640613103
Slice and Drill;Goal Oriented;0.1;0.02067267094638118
Slice and Drill;Goal Oriented;0.2;0.037096186187947106
Slice and Drill;Goal Oriented;0.3;0.05608852550447171
Slice and Drill;Goal Oriented;0.4;0.07799410240527388
Slice and Drill;Goal Oriented;0.5;0.0994919875720741
Slice and Drill;Goal Oriented;0.6;0.12508855892614962
Slice and Drill;Goal Oriented;0.7;0.14610681295689587
Slice and Drill;Goal Oriented;0.8;0.19183517421370014
Slice and Drill;Goal Oriented;0.9;0.21639936905021345
Slice and Drill;Slice All;0.1;0.021444612867371475
Slice and Drill;Slice All;0.2;0.04152900995603874
Slice and Drill;Slice All;0.3;0.06201027889244178
Slice and Drill;Slice All;0.4;0.07931688124578828
Slice and Drill;Slice All;0.5;0.10190985744073494
Slice and Drill;Slice All;0.6;0.12449106412823494
Slice and Drill;Slice All;0.7;0.14311754772626073
Slice and Drill;Slice All;0.8;0.1755573869692167
Slice and Drill;Slice All;0.9;0.22736517824262636
Goal Oriented;Explorative;0.1;0.018758185914177248
Goal Oriented;Explorative;0.2;0.026315638736519886
Goal Oriented;Explorative;0.3;0.039514870017619816
Goal Oriented;Explorative;0.4;0.05596462957491787
Goal Oriented;Explorative;0.5;0.07268917341361679
Goal Oriented;Explorative;0.6;0.0890544364421846
Goal Oriented;Explorative;0.7;0.11136025562151441
