querry_id,total_operators,distinct_operators,ascii_len,part_number
32242,36,7,878,26
6304,14,4,256,24
43371,48,9,385,25
134166,8,3,226,24
37932,16,5,287,19
53109,12,5,332,33
44456,66,10,385,25
265336,124,9,413,25
128781,18,6,358,34
64242,74,9,800,26
266420,136,8,2107,28
6564,16,8,309,25
43121,18,5,385,25
270929,20,6,313,24
7410,14,5,253,24
7896,14,5,263,24
74048,46,7,204,24
25952,74,9,740,24
125273,340,8,2428,32
3295,54,7,1641,34
25953,18,6,352,24
74040,16,7,738,28
175924,54,7,839,26
37927,24,7,2835,35
119832,60,8,756,28
70916,30,6,326,25
4138,68,8,2071,28
135266,24,8,460,26
6316,50,8,338,24
107855,48,8,311,24
133081,24,5,443,33
23746,12,5,239,24
41174,14,5,270,24
64011,16,6,301,25
7664,14,5,255,24
103231,16,6,291,25
68855,6,3,244,24
129864,34,8,793,36
67765,18,6,332,24
6334,50,8,338,24
6576,16,8,309,25
69949,16,5,341,25
74056,16,7,470,28
118724,32,6,511,26
181121,94,9,2581,32
79992,22,6,293,25
74292,18,5,286,24
74291,14,6,209,24
131907,52,8,639,20
54451,8,3,582,33
130818,32,7,542,21
30286,124,9,1002,27
31374,8,4,233,24
106978,14,5,219,24
53127,30,8,327,33
29042,32,6,577,26
134182,8,3,226,24
107828,32,8,306,24
23999,12,5,1067,39
66440,18,6,332,24
70943,34,6,409,25
69714,8,4,196,24
6344,14,4,256,24
6586,16,8,309,25
23519,128,9,692,26
42011,38,8,356,24
107841,12,5,236,24
104574,168,8,464,25
6103,18,6,353,24
124166,48,8,1567,27
75159,34,8,1042,30
180042,174,8,930,28
274270,120,7,472,24
118959,48,6,645,26
174858,72,7,767,26
29297,20,6,392,26
37905,32,8,289,19
82911,20,6,385,26
30031,84,8,672,25
79746,34,7,246,24
134196,8,3,226,24
91615,38,9,431,25
42492,50,9,387,25
107773,60,8,323,24
39870,40,8,653,26
74879,32,6,265,24
63740,24,7,273,24
70037,124,9,413,25
6115,18,6,354,24
6356,56,9,338,24
118668,12,5,293,26
62414,44,8,997,30
62656,44,9,2639,33
27889,76,6,435,25
40859,16,4,438,27
86625,26,6,241,24
24133,16,5,299,25
179812,68,6,1161,28
174125,56,7,596,26
38304,18,7,350,20
120508,32,7,467,26
37459,16,7,2484,33
180817,98,9,2439,32
175693,20,5,561,26
177872,116,8,419,25
270978,12,5,239,24
127370,84,6,5767,40
132981,24,5,443,33
92057,52,9,265,31
7454,16,6,276,24
36352,108,10,512,19
107786,12,5,239,24
266224,108,7,940,28
73554,16,7,621,30
27656,16,6,332,26
41942,40,8,569,26
29834,72,7,876,26
35263,42,9,443,19
64603,60,9,605,25
130567,18,6,488,21
126045,128,9,5178,32
40616,20,8,398,26
86608,10,5,180,24
119752,46,8,738,27
83106,22,6,370,26
85768,12,5,227,24
34177,66,9,443,19
266473,68,8,1472,27
38535,24,7,2835,35
265385,124,9,413,25
17618,40,8,613,26
172176,44,6,404,24
131662,130,9,984,21
5041,68,9,1111,27
6375,56,9,338,24
104240,36,8,7963,45
74899,46,9,2410,30
129302,28,5,736,35
74656,32,8,615,27
106423,162,7,930,28
61585,112,8,2402,29
63763,72,7,207,24
8797,14,5,218,24
130333,22,6,490,21
65701,144,9,592,28
74411,32,8,615,27
117557,18,6,382,26
61345,60,9,1094,29
132519,52,8,919,22
118650,12,5,293,26
