querry_id,total_operators,distinct_operators,ascii_len,part_number
5172,20,5,265,25
83008,20,6,414,26
65829,30,8,253,24
35127,6,3,406,24
86754,18,7,258,24
40709,12,5,347,26
60386,40,8,453,25
83484,20,6,485,26
38633,16,5,390,20
177522,64,6,825,26
83243,44,9,364,25
37789,66,7,511,21
270823,12,5,239,24
178850,58,8,874,28
44071,64,10,371,24
6276,64,7,340,24
29907,12,5,472,26
73228,16,5,1934,30
131962,52,8,639,20
6035,78,7,327,24
27964,76,6,435,25
64757,52,9,445,25
40940,16,4,399,26
66933,30,8,239,24
72130,124,7,292,24
65607,76,9,771,28
118112,300,8,1161,28
172268,48,5,711,24
101908,54,9,429,24
61003,16,6,316,25
86543,8,4,257,24
60151,16,5,322,25
109869,12,5,254,25
174440,80,8,740,26
173593,54,6,744,25
271738,16,5,299,25
109889,16,5,338,25
74569,30,8,480,27
6047,78,7,327,24
74326,18,6,264,24
8224,42,5,415,24
75414,46,9,1028,30
129238,28,5,829,35
63676,34,9,242,24
27733,10,4,297,26
66946,14,5,237,24
24223,16,6,388,24
119427,22,7,484,27
72143,18,7,290,24
7372,34,9,288,24
133914,30,8,503,34
132826,88,8,340,32
84118,32,8,1197,34
174677,80,8,740,26
38610,12,5,317,20
84352,58,7,667,26
123928,120,8,916,21
39947,16,5,420,26
120659,18,7,275,19
7385,14,5,299,24
130411,18,6,298,19
64530,52,9,560,26
73246,14,5,340,26
6059,14,5,267,24
63689,30,8,242,24
130655,18,6,488,21
62359,48,10,1059,30
23589,120,9,565,25
73482,16,7,552,29
6294,64,7,340,24
65629,38,8,592,28
49739,40,10,964,29
120641,36,7,199,19
83058,20,6,396,26
60179,100,9,511,25
86324,12,5,243,24
61265,44,8,971,29
175794,38,7,566,26
7154,16,6,224,24
27719,12,5,317,24
8484,28,5,336,24
46699,42,9,769,27
95026,50,7,515,27
131752,70,9,984,21
27711,16,6,332,26
26865,26,6,293,25
22267,68,9,5131,34
66728,18,6,332,24
119895,60,8,987,28
32058,8,3,584,26
100804,18,6,262,24
177968,66,8,592,25
175548,20,5,564,26
174211,64,7,739,26
37984,16,7,254,19
53655,46,10,1609,31
107438,62,7,1143,39
107679,60,8,364,25
270868,20,6,313,24
19741,34,9,292,24
38262,12,5,317,20
107012,14,5,219,24
6077,14,5,267,24
133782,10,5,180,24
70794,16,7,287,25
28451,12,5,317,24
1612,38,7,483,26
30543,42,7,478,26
29542,30,6,352,25
66291,30,8,239,24
271785,12,5,317,24
74909,14,5,258,24
91009,32,8,394,24
2946,264,7,12193,35
19748,116,7,505,25
177354,64,6,990,26
67141,22,6,420,24
68005,18,6,332,24
133556,30,8,518,34
39584,16,5,404,26
130284,18,6,402,21
94993,50,7,515,27
134405,16,7,302,25
70565,16,6,236,24
85804,12,5,226,24
82778,20,6,381,26
29792,16,6,236,24
119475,22,7,484,27
121782,38,9,361,19
33807,34,6,351,19
69330,30,6,371,24
17541,40,8,613,26
19720,20,6,249,24
134897,16,6,388,26
132475,52,8,1117,22
73604,16,7,629,30
38243,12,5,317,20
134651,16,6,388,26
31608,14,5,244,24
72996,28,7,857,30
38486,16,5,1388,25
18870,66,6,404,25
180513,188,9,1333,29
40568,16,6,336,26
132239,56,7,998,23
6091,78,7,327,24
92120,42,8,699,26
63802,28,8,261,24
86919,44,7,258,31
7182,14,4,332,24
42986,36,8,370,25
106381,54,7,930,28
60537,40,8,453,25
124800,340,8,2428,32
84742,20,6,305,25
83895,54,7,604,26
119228,16,6,364,26
271761,16,5,299,25
176287,32,6,748,26
38009,84,7,236,19
73839,32,7,852,29
68253,50,7,282,24
134424,16,6,227,24
74704,16,6,224,24
130067,22,7,260,20
176040,32,6,664,26
181610,44,6,2687,32
107249,14,5,1071,39
41884,26,8,525,21
70585,16,6,223,24
41402,14,5,270,24
86909,46,8,772,26
83404,20,6,396,26
85825,16,7,234,24
81226,12,5,199,24
57139,42,6,265,24
27592,16,6,332,26
60787,36,8,388,25
1401,40,8,461,25
118364,300,8,1161,28
82553,18,6,294,25
28203,12,5,317,24
271991,12,5,317,24
29774,16,6,238,24
60783,38,11,1171,30
120431,60,8,776,27
135761,36,9,611,26
31842,8,3,424,25
69353,36,7,630,25
30755,42,7,478,26
51837,40,11,1114,30
74955,36,9,1042,30
74952,12,5,261,25
38223,36,7,260,19
73861,30,8,696,28
29505,36,7,463,26
36045,6,3,406,24
130479,18,6,488,21
107053,8,4,235,24
24052,12,5,239,24
85857,16,6,241,24
29501,32,7,602,25
27323,130,10,991,27
66093,58,9,746,28
30505,46,7,576,27
180977,188,9,1333,29
39558,16,6,336,26
119284,22,7,364,26
19703,36,7,413,25
1658,72,7,1402,26
133511,38,8,512,34
69138,28,7,390,24
73879,30,8,513,27
68289,34,9,284,24
134844,36,9,460,26
8066,12,5,235,24
107066,14,5,269,24
74724,14,5,226,24
74966,12,5,238,24
134603,16,6,260,24
70122,38,7,422,26
74722,46,9,855,27
73632,16,7,680,31
93226,34,7,312,24
130245,14,6,297,21
63831,40,8,388,25
40776,16,4,399,26
132427,52,8,1018,22
270000,88,9,24535,74
42716,48,9,385,25
34094,28,7,666,25
100669,18,6,340,24
29991,16,5,299,24
60326,20,5,398,25
29754,30,7,345,25
85843,12,5,234,24
81244,20,6,281,24
82577,20,8,370,25
175367,58,8,678,26
30977,18,9,245,24
48496,42,10,983,29
176210,32,6,748,26
174031,74,7,674,26
178672,58,8,874,28
74978,12,5,235,24
73404,16,7,604,30
37594,68,8,513,20
24037,12,5,1067,39
29969,16,6,227,24
120487,52,7,536,26
84305,34,8,586,26
85878,12,5,242,24
84549,100,7,424,25
4708,90,9,2770,28
102819,14,6,260,24
60577,20,5,398,25
123511,36,8,277,19
122421,66,9,361,19
39534,16,6,336,26
17748,40,8,464,25
38205,12,5,317,20
178425,68,6,1389,28
120249,68,8,1076,28
103902,14,6,5109,45
130022,16,6,354,21
38673,42,9,486,20
40750,16,6,336,26
131598,48,9,639,20
71233,64,11,1151,30
73895,14,5,459,27
62521,44,8,2763,34
61433,112,8,2402,29
29734,30,7,345,25
63858,28,8,258,24
107041,10,5,219,24
86959,26,7,283,31
86715,48,7,242,24
123741,44,5,565,21
29732,56,6,745,25
83202,20,6,396,26
83443,20,6,396,26
1200,24,7,260,24
175147,88,7,768,26
100640,18,6,340,24
4952,102,9,2782,28
30715,42,7,478,26
179743,174,8,930,28
17515,12,5,296,26
