rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
20;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;9;I051911;Airports;[Nb Destinations];[Main airport];[];49
498;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;9;I051911;Airports;[];[Main airport];[];55
499;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;9;I051911;Airports;[];[Region];[];41
500;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;9;I051911;Airports;[Population];[Country];[];54
