rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
305;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;I301280;Sales;[];[Country];[];96
306;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;I301280;Sales;[];[Country];[];96
307;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;I301280;Sales;[];[Country];[];96
308;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;I301280;Sales;[];[Country, Product];[];38
309;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;I301280;Sales;[];[Country, Product];[];38
310;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;I301280;Sales;[];[Country, Product];[Country=>[EQUAL [Finland, Rwanda, Burundi]]];39
311;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;I301280;Sales;[];[Country, Product, Supplier];[Country=>[EQUAL [Finland, Rwanda, Burundi]]];31
312;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;I301280;Sales;[];[Product, Supplier];[Country=>[EQUAL [Finland, Rwanda, Burundi]]];40
