rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
256;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[];[];95
262;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Media];[];70
264;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Media, Genre];[];48
267;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Genre];[];59
272;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Genre];[Country=>[EQUAL Spain]];57
273;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Genre];[Country=>[EQUAL Spain], Year=>[EQUAL 2015]];67
280;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[];[Genre];[Year=>[EQUAL 2015]];103
281;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[];[Genre];[Year=>[EQUAL 2015], Country=>[EQUAL Spain]];103
282;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Genre];[Year=>[EQUAL 2015], Country=>[EQUAL Spain]];67
283;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[];[Genre];[Year=>[EQUAL 2015], Country=>[EQUAL Spain]];103
284;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Genre];[Year=>[EQUAL 2015]];61
285;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Genre];[Year=>[EQUAL 2015]];61
286;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Genre];[Year=>[EQUAL 2015]];61
287;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[];[Genre];[Year=>[EQUAL 2015]];103
288;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[];[Media];[Year=>[EQUAL 2015]];147
289;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[];[Media];[Year=>[EQUAL 2015], Country=>[EQUAL Spain]];147
290;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[Sales Revenue];[Media];[Year=>[EQUAL 2015], Country=>[EQUAL Spain]];73
291;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;I051430;Films;[];[Media];[Year=>[EQUAL 2015], Country=>[EQUAL Spain]];147
