rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
339;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;6;I051430;Sales;[Sales Revenue];[];[Retailer=>[EQUAL Decathlon]];117
340;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;6;I051430;Sales;[Sales Revenue];[];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2010]];116
341;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;6;I051430;Sales;[Sales Quantity];[];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2010]];205
342;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;6;I051430;Sales;[Sales Quantity];[Region, Month];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2010]];38
343;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;6;I051430;Sales;[Sales Quantity];[Region, Month];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2010]];38
