rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
145;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;7;I050648;Sales;[];[Retailer];[Year=>[EQUAL 2013]];7
146;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;7;I050648;Sales;[Sales Revenue];[Year];[Retailer=>[EQUAL Alpen]];75
147;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;7;I050648;Sales;[Sales Revenue];[Year, Color];[Retailer=>[EQUAL Alpen]];52
