rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
489;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;6;I051911;Sales;[Sales Quantity];[Month];[Retailer=>[EQUAL Decathlon]];147
490;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;6;I051911;Sales;[Sales Quantity];[Month];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2015]];147
491;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;6;I051911;Sales;[Sales Quantity];[Product, Month];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2015]];47
492;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;6;I051911;Sales;[Sales Quantity];[Product, Month];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2015]];47
