rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
109;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[Media];[Country=>[EQUAL Spain]];68
110;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[Media];[Country=>[EQUAL Spain]];68
111;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[Media];[Country=>[EQUAL Spain]];68
112;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[Media];[Country=>[EQUAL Spain]];68
253;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[];[];95
257;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[Media];[];70
258;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[Media];[];70
259;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[Media];[];70
260;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[Sales Revenue];[Media];[];70
510;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;I301280;Films;[];[Media];[];147
