rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
412;F043B57DC27CD5351F4A04F235EF7934EE1AF057E1FE9AB3350C0712A46AA23F;1;I072507;Films;[Sales Target Revenue, Sales Revenue];[];[Country=>[EQUAL Spain], Genre=>[EQUAL Comedy]];57
443;F043B57DC27CD5351F4A04F235EF7934EE1AF057E1FE9AB3350C0712A46AA23F;1;I072507;Films;[Sales Revenue];[Genre, Media];[Country=>[EQUAL Spain]];46
