rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
148;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;8;I050648;Sales;[Sales Target Revenue, Sales Quantity];[Country];[Year=>[EQUAL 2015]];31
149;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;8;I050648;Sales;[Sales Target Qty];[Country];[Year=>[EQUAL 2015]];54
153;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;8;I050648;Sales;[Shortage];[Retailer, Product];[Country=>[EQUAL [United States, France, Ireland]], Year=>[EQUAL 2015]];27
358;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;8;I050648;Sales;[Shortage];[Country];[Year=>[EQUAL 2015]];58
