rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
353;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;7;I051911;Sales;[Sales Revenue];[Color];[Year=>[EQUAL [2013, 2014, 2015]]];69
419;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;7;I051911;Sales;[];[];[];0
493;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;7;I051911;Sales;[];[Retailer];[Year=>[EQUAL 2013]];7
494;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;7;I051911;Sales;[];[Retailer];[Year=>[EQUAL 2013]];7
495;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;7;I051911;Sales;[];[];[Retailer=>[EQUAL Alpen]];1
496;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;7;I051911;Sales;[];[];[Retailer=>[EQUAL Alpen]];1
497;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;7;I051911;Sales;[Sales Revenue];[Color];[Year=>[EQUAL [2013, 2014, 2015]], Retailer=>[EQUAL Alpen]];69
