rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
422;B14A56479D3084E01B61BD92816198B7921A9310073749B3783D5C16587AA622;1;I051738;Films;[Sales Revenue];[Media, Retailer];[Country=>[EQUAL Spain]];43
424;B14A56479D3084E01B61BD92816198B7921A9310073749B3783D5C16587AA622;1;I051738;Films;[Sales Revenue];[Year, Media, Retailer];[Country=>[EQUAL Spain]];29
425;B14A56479D3084E01B61BD92816198B7921A9310073749B3783D5C16587AA622;1;I051738;Films;[Sales Revenue];[Year, Media, Retailer];[Country=>[EQUAL Spain]];29
426;B14A56479D3084E01B61BD92816198B7921A9310073749B3783D5C16587AA622;1;I051738;Films;[Sales Target Revenue];[Year, Media, Retailer];[Country=>[EQUAL Spain]];31
