rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
41;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;8;I050582;Sales;[];[Country];[Year=>[EQUAL 2015]];0
42;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;8;I050582;Sales;[];[Country];[Year=>[EQUAL 2015]];0
44;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;8;I050582;Sales;[];[Country, Retailer, Product];[Year=>[EQUAL 2015]];25
48;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;8;I050582;Sales;[Planned Qty Ordered];[Country, Retailer, Product];[Year=>[EQUAL 2015]];22
357;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;8;I050582;Sales;[Shortage];[Country];[Year=>[EQUAL 2015]];58
