rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
23;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;I050582;Films;[Sales Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];49
25;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;I050582;Films;[Sales Target Revenue];[Media, Genre, Year];[Country=>[EQUAL Iceland]];41
27;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;I050582;Films;[Sales Target Revenue];[Year, Media, Genre];[Country=>[EQUAL Iceland]];41
28;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;I050582;Films;[Sales Target Revenue];[Year, Genre, Media];[Country=>[EQUAL Iceland]];41
29;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;I050582;Films;[Sales Revenue];[Genre, Media];[];48
166;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;I050582;Films;[Sales Revenue];[Genre, Media];[Country=>[EQUAL Iceland]];49
255;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;I050582;Films;[Sales Revenue];[];[];95
266;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;I050582;Films;[Sales Revenue];[Genre];[];59
