rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
39;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;6;I051069;Sales;[];[Region, Month, Country];[Retailer=>[EQUAL Decathlon]];32
43;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;6;I051069;Sales;[];[Region, Month, Country];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2010]];1
45;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;6;I051069;Sales;[];[];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2010]];1
60;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;6;I051069;Sales;[Sales Revenue];[Month, Region];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2010]];31
69;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;6;I051069;Sales;[Sales Revenue];[Month, Region];[Retailer=>[EQUAL Decathlon], Year=>[EQUAL 2010], Month=>[EQUAL [January, February, March, April, May, June]]];0
