rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
107;78800BE8CEA61EE809830FA78386B6DFB4DAD39EFEE862E34B966556F0DCF817;1;I050648;Films;[];[Media];[Country=>[EQUAL Spain]];147
113;78800BE8CEA61EE809830FA78386B6DFB4DAD39EFEE862E34B966556F0DCF817;1;I050648;Films;[Sales Revenue];[Media];[Country=>[EQUAL Spain]];68
114;78800BE8CEA61EE809830FA78386B6DFB4DAD39EFEE862E34B966556F0DCF817;1;I050648;Films;[Sales Revenue];[Media, Genre];[Country=>[EQUAL Spain]];46
115;78800BE8CEA61EE809830FA78386B6DFB4DAD39EFEE862E34B966556F0DCF817;1;I050648;Films;[Sales Revenue];[Genre, Year];[Country=>[EQUAL Spain]];36
270;78800BE8CEA61EE809830FA78386B6DFB4DAD39EFEE862E34B966556F0DCF817;1;I050648;Films;[Sales Revenue];[Genre];[Country=>[EQUAL Spain]];57
