rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
429;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;1;I051892;Films;[];[Film];[];54
519;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;1;I051892;Films;[Sales Target Revenue];[Film];[];40
522;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;1;I051892;Films;[Sales Target Revenue];[Film];[Country=>[EQUAL Spain]];38
529;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;1;I051892;Films;[Sales Target Revenue];[Film, Genre];[Country=>[EQUAL Spain]];31
530;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;1;I051892;Films;[Sales Target Revenue];[Film, Genre];[Country=>[EQUAL Spain]];31
