rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
240;E838EB794D13151CFAE48095ACD56908E0A93495D2CA903F7162F3071101F22A;1;I050638;Films;[Sales Revenue];[Film];[];39
241;E838EB794D13151CFAE48095ACD56908E0A93495D2CA903F7162F3071101F22A;1;I050638;Films;[Sales Revenue];[Film, Country];[];21
243;E838EB794D13151CFAE48095ACD56908E0A93495D2CA903F7162F3071101F22A;1;I050638;Films;[Sales Revenue];[Country, Genre];[];40
271;E838EB794D13151CFAE48095ACD56908E0A93495D2CA903F7162F3071101F22A;1;I050638;Films;[Sales Revenue];[Genre];[Country=>[EQUAL Spain]];57
432;E838EB794D13151CFAE48095ACD56908E0A93495D2CA903F7162F3071101F22A;1;I050638;Films;[];[Film];[];54
