rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
131;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;3;I050648;Films;[Sales Target Revenue, Sales Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];38
132;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;3;I050648;Films;[];[Retailer];[Country=>[EQUAL Iceland]];0
133;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;3;I050648;Films;[];[Retailer];[];13
134;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;3;I050648;Films;[];[Retailer];[];13
141;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;3;I050648;Films;[Sales Revenue];[Retailer];[Country=>[EQUAL Iceland]];49
