rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
40;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;8;I316785;Sales;[];[Country];[Year=>[EQUAL 2015]];96
46;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;8;I316785;Sales;[];[Country];[Year=>[EQUAL 2015]];0
47;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;8;I316785;Sales;[];[Country];[Year=>[EQUAL 2015]];0
68;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;8;I316785;Sales;[];[Retailer, Product];[];0
