rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
292;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;2;I301280;Films;[Sales Revenue];[Country];[];61
293;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;2;I301280;Films;[Sales Revenue];[Country];[];61
294;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;2;I301280;Films;[Sales Revenue];[Country];[];61
295;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;2;I301280;Films;[Sales Revenue];[Country];[];61
