rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
180;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;2;I051069;Films;[Sales Revenue];[Country];[Region=>[EQUAL Europe & Central Asia]];64
181;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;2;I051069;Films;[Sales Revenue, Sales Target Revenue];[];[];57
182;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;2;I051069;Films;[Sales Revenue];[Country, Genre];[Region=>[EQUAL Europe & Central Asia]];29
183;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;2;I051069;Films;[Sales Revenue, Sales Target Revenue];[Country, Genre];[Region=>[EQUAL Europe & Central Asia]];25
184;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;2;I051069;Films;[Sales Revenue, Sales Target Revenue];[Country, Genre];[Region=>[EQUAL Europe & Central Asia]];25
456;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;2;I051069;Films;[];[];[];0
457;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;2;I051069;Films;[];[];[];0
