rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
344;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[];[Retailer];[];13
345;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[];[Retailer];[Year=>[EQUAL 2013]];58
346;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[Sales Revenue];[Retailer];[Year=>[EQUAL 2015]];45
347;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[];[Retailer];[];13
348;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[];[Retailer];[];13
349;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[];[Retailer];[];13
350;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[];[Color];[];66
351;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[Sales Revenue];[Color];[];66
355;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;I051430;Sales;[Sales Revenue];[Color];[Year=>[EQUAL [2013, 2014, 2015]]];69
