rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
97;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;7;I051892;Sales;[Sales Revenue, Sales Target Revenue];[Retailer];[Year=>[EQUAL 2013]];24
98;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;7;I051892;Sales;[Sales Revenue, Sales Target Revenue];[Retailer];[Year=>[EQUAL 2013]];24
99;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;7;I051892;Sales;[Sales Revenue, Sales Target Revenue];[Retailer];[Year=>[EQUAL [2013, 2014]]];24
100;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;7;I051892;Sales;[Sales Quantity];[Retailer, Country];[];27
101;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;7;I051892;Sales;[Sales Quantity];[Retailer, Country];[Year=>[EQUAL 2015]];39
