rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
201;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;12;I051069;Airports;[];[Country];[];96
206;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;12;I051069;Airports;[Passengers 2005, Passengers 2010];[];[Country=>[EQUAL United States]];93
209;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;12;I051069;Airports;[Passengers 2005, Passengers 2010];[Main airport];[Country=>[EQUAL United States]];32
