rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
88;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;3;I051892;Films;[Sales Target Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];38
89;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;3;I051892;Films;[Sales Target Qty, Sales Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];0
128;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;3;I051892;Films;[Sales Target Revenue, Sales Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];38
129;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;3;I051892;Films;[Sales Target Revenue, Sales Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];38
130;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;3;I051892;Films;[Sales Target Revenue, Sales Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];38
