rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
202;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;12;I301280;Airports;[Passengers 2005, Passengers 2010];[];[Country=>[EQUAL United States]];93
331;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;12;I301280;Airports;[];[Country];[];96
517;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;12;I301280;Airports;[];[Country];[];96
518;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;12;I301280;Airports;[Nb Destinations, Passengers 2010];[Main airport];[];43
