rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
186;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;9;I316785;Airports;[];[Main airport];[];55
187;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;9;I316785;Airports;[];[Main airport];[];55
198;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;9;I316785;Airports;[Passengers 2010, Nb Destinations, Population];[Main airport, Region];[];22
372;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;9;I316785;Airports;[Passengers 2010];[Main airport];[];45
