rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
356;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;8;I051430;Sales;[Sales Quantity];[Country];[Year=>[EQUAL 2015]];60
359;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;8;I051430;Sales;[Shortage];[Country];[Year=>[EQUAL 2015]];58
360;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;8;I051430;Sales;[Shortage];[Country];[Year=>[EQUAL 2015]];58
361;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;8;I051430;Sales;[Shortage];[Country];[Year=>[EQUAL 2015]];58
