rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
9;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;I050582;Films;[Sales Revenue, Sales Target Revenue];[Country, Genre, Region];[];16
13;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;I050582;Films;[Sales Revenue, Sales Target Revenue];[Country, Genre];[Region=>[EQUAL Europe & Central Asia]];25
14;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;I050582;Films;[Sales Target Revenue];[Country, Genre];[Region=>[EQUAL Europe & Central Asia]];28
15;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;I050582;Films;[Sales Target Revenue];[Country, Genre];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];29
116;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;I050582;Films;[];[Country];[];96
122;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;I050582;Films;[Sales Revenue, Sales Target Revenue];[Country, Genre];[];32
434;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;I050582;Films;[];[Film, Genre];[];39
528;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;I050582;Films;[];[Region];[];41
