Exploration;Expertise;Focus
dibstudent03--2016-09-25--17-37.log;C;-0,459227258
dibstudent04--2016-09-20--15-33.log;B;-1,068646147
dibstudent04--2016-09-25--11-53.log;B;-1,805751929
