;qid;NoC;AggDepth;IterDistance;CpQ;IsRelax;FilterDepth;NoAgg;IterCommonMeasures;NoQ;IterCommonFilters;NoF;NoM;IVA;QF;IterRecall;ElapsedTime;ExecTime;RNI;CD;IterPrecision;IterCommonAgg;RQP;ConsTime;IterIdentity;IsRefine;salimLabel
563;dibstudent14--2016-09-27--16-59.log-22;108;0.0571428571428571;0;1;0.0;0.0571428571428571;2;3;23;1;1;3;0;0.0320088177334417;1;718.552;0.062;0.246801737678994;5;1;2;0.71875;5.157;1;0;1
564;dibstudent14--2016-09-27--16-59.log-23;108;0.0571428571428571;0;1;0.0;0.0571428571428571;2;3;24;1;1;3;0;0.0331610799458369;1;723.74;0.031;0.246801737678994;4;1;2;0.75;10.187;1;0;1
565;dibstudent14--2016-09-27--16-59.log-27;294;0.0571428571428571;1;0;1.0;0.0428571428571429;2;3;28;1;1;3;0;0.0328118975940676;1;853.349;5.578;0.363339875847643;0;0.0408163265306122;2;0.875;30.485;0;0;1
566;dibstudent14--2016-09-27--16-59.log-28;288;0.0571428571428571;47;0;0.0;2.72857142857143;2;3;29;1;48;3;0;0.0328098836946192;0.979591836734694;883.88;0.046;0.371044445077918;2;1;2;0.90625;61.657;0;1;1
567;dibstudent14--2016-09-27--16-59.log-29;288;0.0571428571428571;0;0;0.0;2.72857142857143;2;3;30;48;48;3;0;0.0317002425068552;1;946.365;0.828;0.371044445077918;1;1;2;0.9375;42.203;1;0;1
568;dibstudent14--2016-09-27--16-59.log-3;68;0.0571428571428571;0;4;0.0;0;2;2;4;0;0;2;0;0.0930232558139535;1;43;0.079;0.139328928545121;4;1;2;0.125;2.296;1;0;1
569;dibstudent14--2016-09-27--16-59.log-30;288;0.0571428571428571;0;0;0.0;2.72857142857143;2;3;31;48;48;3;0;0.0313560162080259;1;988.646;0.078;0.371044445077918;0;1;2;0.96875;17.188;1;0;1
570;dibstudent14--2016-09-27--16-59.log-4;68;0.0571428571428571;0;4;0.0;0;2;2;5;0;0;2;0;0.110042476395889;1;45.437;0.141;0.139328928545121;3;1;2;0.15625;43.75;1;0;1
571;dibstudent14--2016-09-27--16-59.log-5;68;0.0571428571428571;0;4;0.0;0;2;2;6;0;0;2;0;0.0672510031607971;1;89.218;0.031;0.139328928545121;2;1;2;0.1875;43.297;1;0;1
572;dibstudent14--2016-09-27--16-59.log-6;4;0.0571428571428571;1;5;0.0;0.0428571428571429;2;2;7;0;1;2;0;0.0528118539978574;0.0588235294117647;132.546;0.031;0.421823048888253;1;1;2;0.21875;30.594;0;1;1
573;dibstudent14--2016-09-27--16-59.log-7;196;0.0571428571428571;0;5;0.0;0.0428571428571429;2;2;8;1;1;2;0;0.0473855047740896;1;168.828;5.688;0.143198506387607;0;0.0204081632653061;2;0.25;183.349;1;0;1
574;dibstudent14--2016-09-27--16-59.log-8;36;0.0571428571428571;8;0;0.0;0.5;2;2;9;1;9;2;0;0.0255530097186614;0.183673469387755;352.209;0.032;0.256845164761686;1;1;2;0.28125;14.875;0;1;1
575;dibstudent14--2016-09-27--16-59.log-9;36;0.0571428571428571;0;0;0.0;0.5;2;2;10;9;9;2;0;0.0272383079563098;1;367.13;0.046;0.256845164761686;0;1;2;0.3125;25.032;1;0;1
576;dibstudent14--2016-09-27--17-25.log-10;0;0;16;0;0.0;0.214285714285714;0;1;11;0;15;1;0;0.0464074319392822;0;237.031;0.016;0;0;0;0;0.314285714285714;15.75;0;0;1
577;dibstudent14--2016-09-27--17-25.log-12;17;0.0142857142857143;2;10;0.0;0;1;1;13;0;0;1;0;0.0501599330171971;0;259.171;0.031;0.0206631927659464;0;0;0;0.371428571428571;57.407;0;0;1
578;dibstudent14--2016-09-27--17-25.log-19;17;0.0142857142857143;0;10;0.0;0;1;1;20;0;0;1;0;0.0415027308796919;1;481.896;0.047;0.0206631927659464;15;1;1;0.571428571428571;2.657;1;0;1
579;dibstudent14--2016-09-27--17-25.log-2;17;0.0142857142857143;1;12;0.0;0;1;1;3;0;0;1;0;0.277880696554279;0.944444444444444;10.796;0;0.0206631927659464;3;1;0;0.0857142857142857;42.297;0;1;1
580;dibstudent14--2016-09-27--17-25.log-20;18;0.0142857142857143;0;10;0.0;0;1;1;21;0;0;1;0;0.0433347090383822;1;484.6;0.047;0.0190982453650265;14;0.944444444444444;1;0.6;2.594;1;0;1
581;dibstudent14--2016-09-27--17-25.log-21;18;0.0142857142857143;0;10;0.0;0;1;1;22;0;0;1;0;0.0451521936782824;1;487.241;0.047;0.0190982453650265;13;1;1;0.628571428571429;3.922;1;0;1
582;dibstudent14--2016-09-27--17-25.log-22;17;0.0142857142857143;0;10;0.0;0;1;1;23;0;0;1;0;0.0468262014992528;0.944444444444444;491.178;0.015;0.0206631927659464;12;1;1;0.657142857142857;2.141;1;0;1
583;dibstudent14--2016-09-27--17-25.log-23;17;0.0142857142857143;0;10;0.0;0;1;1;24;0;0;1;0;0.0486484842956612;1;493.335;0.016;0.0206631927659464;11;1;1;0.685714285714286;3.687;1;0;1
