qid;Metric - Aggregation Depth;Metric - Click Depth;Metric - Click Per Query.;Metric - Consideration time;Metric - Elapsed time;Metric - Execution time;Metric - Filter Depth;Metric - Increase in View Area;Metric - Is Refine;Metric - Is Relax;Metric - Iterative Common Aggregations;Metric - Iterative Common Filters;Metric - Iterative Common Measures;Metric - Iterative Distance;Metric - Iterative Identity;Metric - Iterative Precision;Metric - Iterative Recall;Metric - Number of aggregations;Metric - Number of Filters;Metric - Number of measures;Metric - Query frequency;Metric - Relative Query Position (RQP)...;Metric - Relevant New Information;Metric Number of queries...;Nb of cells;label
dibstudent16--2016-10-06--22-03.log-142;0.0285714285714286;5;0;3.968;6662.286;0.032;0.0428571428571429;0;0;0.0;2;3;1;0;1;1;1;2;3;1;0.0214641040627797;0.866666666666667;0.308281553006882;143;6;1
dibstudent16--2016-10-06--22-03.log-143;0.0285714285714286;4;0;7.735;6666.301;0.047;0.0428571428571429;0;0;0.0;2;3;1;0;1;1;1;2;3;1;0.0216011848249877;0.872727272727273;0.308281553006882;144;6;1
dibstudent16--2016-10-06--22-03.log-144;0.0285714285714286;3;0;8.578;6674.067;0.031;0.0428571428571429;0;0;0.0;2;3;1;0;1;1;1;2;3;1;0.0217258831833723;0.878787878787879;0.308281553006882;145;6;1
dibstudent16--2016-10-06--22-03.log-145;0.0285714285714286;2;0;6.797;6682.676;0.031;0.0428571428571429;0;0;0.0;2;3;1;0;1;1;1;2;3;1;0.0218475353286618;0.884848484848485;0.308281553006882;146;6;1
dibstudent16--2016-10-06--22-03.log-146;0.0285714285714286;1;0;2.328;6689.504;0.031;0.0428571428571429;0;0;0.0;2;3;1;0;1;1;1;2;3;1;0.0219747233875636;0.890909090909091;0.308281553006882;147;6;1
dibstudent16--2016-10-06--22-03.log-147;0.0285714285714286;0;0;49.343;6691.864;0.032;0.0428571428571429;0;0;0.0;2;3;1;0;1;1;1;2;3;1;0.0221164088212193;0.896969696969697;0.308281553006882;148;6;1
dibstudent16--2016-10-06--22-03.log-148;0.0571428571428571;1;0;6.359;6741.364;0.157;0.0428571428571429;0.000301286493326504;1;0.0;2;3;1;2;0;0;0;3;3;1;0.0221023519869273;0.903030303030303;0.405829770879184;149;30;1
dibstudent16--2016-10-06--22-03.log-149;0.0571428571428571;0;0;19.672;6747.817;0.094;0.0428571428571429;0;0;0.0;3;3;1;0;1;1;1;3;3;1;0.0222294113785243;0.909090909090909;0.405829770879184;150;30;1
dibstudent16--2016-10-06--22-03.log-150;0.0571428571428571;14;0;3.485;6767.707;0.218;0.128571428571429;0;1;0.0;3;3;1;3;0;1;0.6;3;6;1;0.0223118406278522;0.915151515151515;0.506344291907431;151;18;1
dibstudent16--2016-10-06--22-03.log-151;0.0571428571428571;13;0;35.484;6771.364;0.172;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.022447471440023;0.921212121212121;0.506344291907431;152;18;1
